0000 | XXXX   |
0001 |XX XX   |
0002 |X X   X |
0003 |XXXXXXXX|
0004 |X  XX X |
0005 |X    XX |
0006 |XXX X XX|
0007 |XXX X   |
0008 |X    XX |
0009 |XX  XX  |
000a |X   X X |
000b |X  X X X|
000c |        |
000d |XXX X   |
000e |   X    |
000f |XXXXX XX|
0010 |  X     |
0011 |X     X |
0012 |XXXX    |
0013 |  X     |
0014 | X     X|
0015 |XXXX   X|
0016 |X X X  X|
0017 |X     X |
0018 |X    X X|
0019 |      X |
001a |X    X X|
001b |       X|
001c |X    X X|
001d |        |
001e |X    X X|
001f |      X |
0020 |X    X X|
0021 |      X |
0022 |X X X  X|
0023 |        |
0024 |X    X X|
0025 |      X |
0026 |X    X X|
0027 |        |
0028 |XXX  XX |
0029 |X   X  X|
002a |X X X  X|
002b |  X XX X|
002c |X   XX X|
002d |X  X XX |
002e |      X |
002f |  X     |
0030 | XXXX  X|
0031 |XXXX    |
0032 |X X  X X|
0033 |X  XX  X|
0034 |  X X  X|
0035 | X    XX|
0036 |XX X    |
0037 |     XX |
0038 |  X     |
0039 |X X  X X|
003a |XXXX   X|
003b |  X     |
003c | X X X X|
003d |XXXX   X|
003e |  X     |
003f |X XX XXX|
0040 |XXXX  X |
0041 |X X XX X|
0042 |X    X  |
0043 |      X |
0044 |XX X    |
0045 |XXXXX XX|
0046 |X    X X|
0047 |       X|
0048 |X X X  X|
0049 |XXX  X  |
004a |X   XX X|
004b |X  X XX |
004c |      X |
004d |  X     |
004e |  X XX  |
004f |XXXX XX |
0050 |X X XX X|
0051 |X    X  |
0052 |      X |
0053 |XX X    |
0054 |XXXXX XX|
0055 |X    X X|
0056 |      X |
0057 |X X X  X|
0058 |X     X |
0059 |X    X X|
005a |       X|
005b |X X X  X|
005c |  X  X  |
005d |X   XX X|
005e |X  X XX |
005f |      X |
0060 |  X  X  |
0061 |X  XX  X|
0062 | XXX    |
0063 |    XX  |
0064 |  X     |
0065 |X X XX  |
0066 |XXXXX   |
0067 |  X     |
0068 | XX X   |
0069 |XXXXX XX|
006a |  X     |
006b |X  X    |
006c |XXXXX X |
006d |  X     |
006e |  XXXX  |
006f |XXXXXX  |
0070 |X X XX X|
0071 |X    X  |
0072 |      X |
0073 |XX X    |
0074 |XXXXX XX|
0075 |X    X X|
0076 |       X|
0077 |XXXX    |
0078 |X  XXX X|
0079 |X X XX X|
007a |X     X |
007b |      X |
007c | XX X X |
007d |X  X    |
007e |      XX|
007f | X  XX  |
0080 |  X  X X|
0081 |XXXX   X|
0082 |X X  XX |
0083 |XXX X XX|
0084 |X X  X X|
0085 |XXX XX  |
0086 |X    X X|
0087 |XXX X XX|
0088 |X    XX |
0089 |XXX XX  |
008a |X X   X |
008b |X       |
008c |X X X  X|
008d |        |
008e |X  X X X|
008f |        |
